Nombre,Naturaleza,Id,Tipo,Dirección,Localidad,Provincia,Código_Postal,FAX,Teléfono,Email,Web
Guachetes,Privado,[16009842],Centro Privado de Educación Infantil,"Av. Pablo Iglesias, 22",Tarancon,(Cuenca),CP :16400,,,,
La Hontanilla,Público,[16004534],Instituto de Educación Secundaria,"Cl. Antonio Machado, S/N",Tarancon,(Cuenca),CP :16400,969325324,969324114,16004534.ies@edu.jccm.es,http://ies-lahontanilla.centros.castillalamancha.es
Melchor Cano,Priv.Concert.,[16002343],Centro Privado de Educación Infantil Primaria y Secundaria,"Av. Juan Carlos I, 40",Tarancon,(Cuenca),CP :16400,969320058,969320050,mecano@planalfa.es,
Nuestra Señora de las Mercedes,Priv.Concert.,[16002355],Centro Privado de Educación Infantil Primaria y Secundaria,"Cl. Seis de Diciembre, 4",Tarancon,(Cuenca),CP :16400,969321000,969321005,nsmercedest@planalfa.es,
Nuestra Señora de Riansares,Público,[16009453],Escuela de Educación Infantil,"Cl. Saturnino Fernandez, 3",Tarancon,(Cuenca),CP :16400,969320371,969323230,cairiansares@jccm.es,
San Isidro,Público,[16009660],Escuela de Educación Infantil,"Cl. San Isidro, 35",Tarancon,(Cuenca),CP :16400,,969324281,escuela_infantil_sanisidro@hotmail.com,
Santa Quiteria,Público,[16009672],Escuela de Educación Infantil,"Cl. Joaquin Rodriguez Cagancho, S/N",Tarancon,(Cuenca),CP :16400,,969322514,escuelainfantilquiteria@hotmail.com,
Duque de Alarcón,Público,[16004054],Instituto de Educación Secundaria,"Cm. Vallejo de la Sabina, S/N",Valera de Abajo,(Cuenca),CP :16120,969208413,969208182,16004054.ies@edu.jccm.es,http://ies-duquedealarcon.centros.castillalamancha.es
Virgen del Rosario,Público,[16002586],Colegio de Educación Infantil y Primaria,"Cl. San Roque,10",Valera de Abajo,(Cuenca),CP :16120,969208046,969208046,16002586.cp@edu.jccm.es,http://edu.jccm.es/cp/virgendelrosario
Ribera del Júcar,Público,[16004625],Colegio Rural Agrupado,"Ps. del Santo Niño, 1",Valverde de Jucar,(Cuenca),CP :16100,969201151,969201151,16004625.cra@edu.jccm.es,http://edu.jccm.es/cra/riberadeljucar
Villa de Valverde,Público,[16009933],Escuela de Educación Infantil,"Cl. Nueva, 3",Valverde de Jucar,(Cuenca),CP :16100,,,,
Virrey Núñez de Haro,Público,[16002720],Colegio de Educación Infantil y Primaria,"Cl. Virgen, 21",Villagarcia del Llano,(Cuenca),CP :16236,967489084,967489084,16002720.cp@edu.jccm.es,http://edu.jccm.es/ceip.virreynunezdeharo
Miguel Delibes,Público,[16009398],Colegio Rural Agrupado,"Cl. Rodeo, Nº53",Villalba de la Sierra,(Cuenca),CP :16140,969281391,969281096,16009398.cra@edu.jccm.es,http://cra-migueldelibes.centros.castillalamancha.es
Escuela de Música de Villalpardo,Público,[16009866],Escuela Pública de Música,"Cl. Onesimo Redondo, 66",Villalpardo,(Cuenca),CP :16270,,,,
Manchuela,Público,[16004005],Colegio Rural Agrupado,"Cl. Ramon y Cajal, 5",Villalpardo,(Cuenca),CP :16270,962311080,962311080,16004005.cra@edu.jccm.es,http://cramanchuela.com
- Sin Denominación -,Público,[16004364],Aula de Educación de Adultos,"Cl. San Antón, 17",Villamayor de Santiago,(Cuenca),CP :16415,,969322542,aepa_villamayords@edu.jccm.es,
Gúzquez,Público,[16002781],Colegio de Educación Infantil y Primaria,"Cr. de Hontanaya, 20",Villamayor de Santiago,(Cuenca),CP :16415,969139213,969139213,16002781.cp@edu.jccm.es,http://ceip-guzquez.centros.castillalamancha.es
Ítaca,Público,[16004510],Instituto de Educación Secundaria Obligatoria,"Cl. Angel Nieto, 1",Villamayor de Santiago,(Cuenca),CP :16415,969139239,969138306,16004510.ieso@edu.jccm.es,http://ies-itaca.centros.castillalamancha.es
La Casita,Público,[16009684],Escuela de Educación Infantil,"Cl. San Anton, 17",Villamayor de Santiago,(Cuenca),CP :16415,,969138194,cai@villamayordesantiago.es,
Gurugú,Público,[16009696],Escuela de Educación Infantil,"Cl. Violeta, 8",Villanueva de la Jara,(Cuenca),CP :16230,967498359,967493077,,
Hermenegildo Moreno,Público,[16002823],Colegio de Educación Infantil y Primaria,"Cl. Carrero Blanco, 16",Villanueva de la Jara,(Cuenca),CP :16230,967483053,967498089,16002823.cp@edu.jccm.es,http://ceip-hermenegildomoreno.centros.castillalamancha.es
La Jara,Público,[16009982],Instituto de Educación Secundaria Obligatoria,"Cl. Venerable Ana, 5",Villanueva de la Jara,(Cuenca),CP :16230,967498614,967498614,16009982.ses@edu.jccm.es,http://ies-villanuevadelajara.centros.castillalamancha.es
- Sin Denominación -,Público,[16009702],Escuela de Educación Infantil,"Cl. Hontenillas, S/N",Villar de Olalla,(Cuenca),CP :16196,969235765,659659576,,
Elena Fortún,Público,[16004236],Colegio Rural Agrupado,"Cl. Mancha, 70",Villar de Olalla,(Cuenca),CP :16196,969267184,969267184,16004236.cra@edu.jccm.es,http://cra-elenafortun.centros.castillalamancha.es
El Quijote,Público,[16004649],Colegio Rural Agrupado,"Cl. Calvario, 5",Villares del Saz,(Cuenca),CP :16442,969298100,969298100,16004649.cra@edu.jccm.es,http://edu.jccm.es/cra/elquijote
Los Sauces,Público,[16004042],Instituto de Educación Secundaria,"Cl. Ramon Carrilero Parreño, S/N",Villares del Saz,(Cuenca),CP :16442,969298309,969298310,16004042.ies@edu.jccm.es,http://ies-lossauces.centros.castillalamancha.es
- Sin Denominación -,Público,[19003723],Aula de Educación de Adultos,"Cl. Escurridizo, S/N",Albalate de Zorita,(Guadalajara),CP :19117,,,,
Garabatos,Público,[19008824],Escuela de Educación Infantil,"Cl. Campoamor, 12",Albalate de Zorita,(Guadalajara),CP :19117,949377806,949377060,cai_garabatos@hotmail.es,
La Colmena,Público,[19003991],Colegio Rural Agrupado,"Cl. Escurridizo, S/N",Albalate de Zorita,(Guadalajara),CP :19117,949376134,949376134,19000059.cp@edu.jccm.es,http://edu.jccm.es/cra.lacolmena
Sierra Ministra,Público,[19003474],Colegio Rural Agrupado,"Cl. Lino Bueno, S/N",Alcolea del Pinar,(Guadalajara),CP :19260,949300233,949300927,19003474.cra@edu.jccm.es,http://edu.jccm.es/cra/alcoleadelpinar
- Sin Denominación -,Público,[19008836],Escuela de Educación Infantil,"Cl. San Jose, S/N",Almoguera,(Guadalajara),CP :19115,,,,
Pimafad,Público,[19003565],Colegio Rural Agrupado,"Cl. San Jose, 9",Almoguera,(Guadalajara),CP :19115,949380691,949380691,19003565.cra@edu.jccm.es,http://cra-pimafad.centros.castillalamancha.es/
Pitufilandia,Público,[19008848],Escuela de Educación Infantil,"Cl. Ronda, 5",Almonacid de Zorita,(Guadalajara),CP :19118,949377175,949376201,,
- Sin Denominación -,Público,[19008711],Aula de Educación de Adultos,"Cl. la Dehesa, S/N",Alovera,(Guadalajara),CP :19208,,,,
Alopekes,Privado,[19009521],Centro Privado de Educación Infantil,"Cl. Eusebio Centenera, 60",Alovera,(Guadalajara),CP :19208,,,,
Campiña Verde,Público,[19008186],Colegio de Educación Infantil y Primaria,"Av. Doña Maria de las Mercedes, 22",Alovera,(Guadalajara),CP :19208,949275463,949275564,19008186.cp@edu.jccm.es,http://ceip-campiverde.centros.castillalamancha.es
Carmen Burgos de Seguí,Público,[19008113],Instituto de Educación Secundaria,"Cl. la Dehesa, 2",Alovera,(Guadalajara),CP :19208,949297331,949297657,19008113.ies@edu.jccm.es,http://ies-carmenburgosdesegui.centros.castillalamancha.es
Corazones Pequeños,Público,[19008851],Escuela de Educación Infantil,"Cl. los Terreros, 24",Alovera,(Guadalajara),CP :19208,,949297316,,
Escuela Municipal de Música y Danza de Alovera,Público,[19008174],Escuela Pública de Música y Danza,"Cl. San Sebastian, 18",Alovera,(Guadalajara),CP :19208,,949274491,escuela.musica@aytoalovera.es,
Nº1,Público,[19009695],Instituto de Educación Secundaria Obligatoria,"Cl. Rafael Alberti, 27",Alovera,(Guadalajara),CP :19208,,683117372,19009695.ies@edu.jccm.es,http://ieso-n1alovera.centros.castillalamancha.es
Parque Vallejo,Público,[19008034],Colegio de Educación Infantil y Primaria,"Cl. Rafael Alberti, 27",Alovera,(Guadalajara),CP :19208,949274492,949274491,19008034.cp@edu.jccm.es,http://ceip-parquevallejo.centros.castillalamancha.es
San Miguel Arcangel,Público,[19008861],Escuela de Educación Infantil,"Av. de la Constitucion, 1",Alovera,(Guadalajara),CP :19208,949270311,949270112,cai.sanmiguel@aytoalovera.es,
Virgen de la Paz,Público,[19000205],Colegio de Educación Infantil y Primaria,"Cl. San Sebastian, 18",Alovera,(Guadalajara),CP :19208,949297101,949270100,19000205.cp@edu.jccm.es,http://ceip-virgendelapazalovera.centros.castillalamancha.es
Serranía de Atienza,Público,[19003486],Colegio Rural Agrupado,"Cr. de Berlanga, S/N",Atienza,(Guadalajara),CP :19270,949399057,949399057,19003486.cra@edu.jccm.es,http://cra-serraniadeatienza.centros.castillalamancha.es
- Sin Denominación -,Público,[19009725],Extensión de Escuela Oficial de Idiomas,"Ps. Poeta Manuel Martínez, 4",Azuqueca de Henares,(Guadalajara),CP :19200,,,,
Arcipreste de Hita,Público,[19002615],Instituto de Educación Secundaria,"Ps. Poeta Manuel Martinez, 4",Azuqueca de Henares,(Guadalajara),CP :19200,949264869,949260432,19002615.ies@edu.jccm.es,
Ceftral-Cetm,Privado,[19009622],Centro Privado de Formación Profesional Específica,"Av. Lyon, 12 (Poligono Rodano)",Azuqueca de Henares,(Guadalajara),CP :19200,,,,
Clara Campoamor,Público,[19002950],Centro Público de Educación de Personas Adultas,"Cr. Villanueva, S/N",Azuqueca de Henares,(Guadalajara),CP :19200,949262235,949262235,19002950.cea@edu.jccm.es,http://cepa-claracampoamor.centros.castillalamancha.es
Colorín Colorado,Privado,[19009452],Centro Privado de Educación Infantil,"Cl. Rio Sella, 23",Azuqueca de Henares,(Guadalajara),CP :19200,,,,
Elvira Lindo,Público,[19009491],Escuela de Educación Infantil,"Cl. Vicente Aleixandre, 7",Azuqueca de Henares,(Guadalajara),CP :19200,,,,
Giovanni Antonio Farina,Priv.Concert.,[19000345],Centro Privado de Educación Infantil Primaria y Secundaria,"Av. Alcala, 6",Azuqueca de Henares,(Guadalajara),CP :19200,949264179,949261250,doroteazuqueca@planalfa.es,
La Campiña,Público,[19008800],Escuela de Educación Infantil,"Cl. Quebradilla, 5",Azuqueca de Henares,(Guadalajara),CP :19200,949260805,949260805,19008800.ei@edu.jccm.es,
La Casita de la Abuela,Privado,[19009610],Centro Privado de Educación Infantil,"Cl. Rio Ebro, 2",Azuqueca de Henares,(Guadalajara),CP :19200,,,,
La Curva,Público,[19009567],Escuela de Educación Infantil,"Av. de Torrelaguna, 2",Azuqueca de Henares,(Guadalajara),CP :19200,,,,
La Espiga,Público,[19008745],Colegio de Educación Infantil y Primaria,"Cl. Rafa Nadal, 2",Azuqueca de Henares,(Guadalajara),CP :19200,949265251,949883351,19008745.cp@edu.jccm.es,http://ceip-laespiga.centros.castillalamancha.es
La Noguera,Público,[19008885],Escuela de Educación Infantil,"Cl. Alto de la Noguera, 16",Azuqueca de Henares,(Guadalajara),CP :19200,949264018,949264018,cailanoguera@yahoo.es,
La Paloma,Público,[19008095],Colegio de Educación Infantil y Primaria,"Cl. Gonzalo Torrente Ballester, S/N",Azuqueca de Henares,(Guadalajara),CP :19200,949249260,949249193,19008095.cp@edu.jccm.es,http://ceip-lapaloma.centros.castillalamancha.es
La Paz,Público,[19000333],Colegio de Educación Infantil y Primaria,"Cl. la Flor, S/N",Azuqueca de Henares,(Guadalajara),CP :19200,949261392,949261392,19000333.cp@edu.jccm.es,http://ceip-lapazazuqueca.centros.castillalamancha.es
Maestra Plácida Herranz,Público,[19003863],Colegio de Educación Infantil y Primaria,"Cl. Chueca, S/N",Azuqueca de Henares,(Guadalajara),CP :19200,949260466,949260466,19003863.cp@edu.jccm.es,http://ceip-maestraplacida.centros.castillalamancha.es
Mi Mofletes,Privado,[19009774],Centro Privado de Educación Infantil,"Cl. Rafael Alberti, 7",Azuqueca de Henares,(Guadalajara),CP :19200,,,,
Montessori British Kids,Privado,[19009579],Centro Privado de Educación Infantil,"Cl. Miguel Delibes, 15 a",Azuqueca de Henares,(Guadalajara),CP :19200,,,pekenikes@hotmail.es,
Profesor Domínguez Ortiz,Público,[19003978],Instituto de Educación Secundaria,"Av. Siglo Xxi, S/N",Azuqueca de Henares,(Guadalajara),CP :19200,949267425,949277149,19003978.ies@edu.jccm.es,http://ies-profesordominguezortiz.centros.castillalamancha.es
San Isidro,Público,[19002640],Instituto de Educación Secundaria,"Cl. Poeta Manuel Martinez, 2",Azuqueca de Henares,(Guadalajara),CP :19200,949262406,949261181,19002640.ies@edu.jccm.es,http://ies-sanisidro.centros.castillalamancha.es
Siglo XXI,Público,[19004004],Colegio de Educación Infantil y Primaria,"Cl. Dinamarca, 6",Azuqueca de Henares,(Guadalajara),CP :19200,949278019,949264974,19004004.cp@edu.jccm.es,http://edu.jccm.es/cp.sigloxxi
Vallehermoso,Privado,[19009166],Centro Privado de Educación Infantil,"Cl. Albeniz, 35",Azuqueca de Henares,(Guadalajara),CP :19200,,616464737,,
Virgen de la Soledad,Público,[19000357],Colegio de Educación Infantil y Primaria,"Cl. San Miguel, S/N",Azuqueca de Henares,(Guadalajara),CP :19200,949348924,949261989,19000357.cp@edu.jccm.es,http://ceip-virgensoledad.centros.castillalamancha.es
8 de Marzo,Público,[19008873],Escuela de Educación Infantil,"Cl. Museo del Prado, 73",Azuqueca de Henares,(Guadalajara),CP :19200,949266134,949266134,cai8marzo@azuqueca.net,
- Sin Denominación -,Público,[19003747],Aula de Educación de Adultos,"Cl. Jardinillo, S/N",Brihuega,(Guadalajara),CP :19400,,,,
- Sin Denominación -,Público,[19008897],Escuela de Educación Infantil,"Cl. Jesus Ruiz Pastor, S/N",Brihuega,(Guadalajara),CP :19400,949280061,949280602,ayto@aytobrihuega.com,
Briocense,Público,[19003462],Instituto de Educación Secundaria Obligatoria,"Cl. Quiñoneros, S/N",Brihuega,(Guadalajara),CP :19400,949340019,949280355,19003462.seces@edu.jccm.es,http://edu.jccm.es/ies/briocense
Nuestra Señora de la Peña,Público,[19000394],Colegio de Educación Infantil y Primaria,"Cl. Quiñoneros, S/N",Brihuega,(Guadalajara),CP :19400,949280114,949280114,19000394.cp@edu.jccm.es,http://ceip-brihuega.centros.castillalamancha.es/
Santa Lucía,Público,[19003590],Colegio Rural Agrupado,"Cl. Teniente Verde, S/N",Budia,(Guadalajara),CP :19133,949283556,949283556,19003590.cra@edu.jccm.es,http://cra-santalucia.centros.castillalamancha.es
Ana María Matute,Público,[19003981],Instituto de Educación Secundaria,"Av. Guadalajara, S/N",Cabanillas del Campo,(Guadalajara),CP :19171,949324094,949324456,19003981.ieso@edu.jccm.es,http://ies-anamariamatute.centros.castillalamancha.es
El País de Liliput,Privado,[19009178],Centro Privado de Educación Infantil,"Cl. Lisboa, 2",Cabanillas del Campo,(Guadalajara),CP :19171,,949324298,info@elpaisdeliliput.com,
Escuela Municipal de Música y Danza de Cabanillas del Campo,Público,[19008150],Escuela Pública de Música y Danza,"Cl. Juan Rhodes, 8",Cabanillas del Campo,(Guadalajara),CP :19171,,949337725,escuelamusica@aytocabanillas.org,
La Senda,Público,[19008216],Colegio de Educación Infantil y Primaria,"Cl. Cipres, 2",Cabanillas del Campo,(Guadalajara),CP :19171,949337431,949337431,19008216.cp@edu.jccm.es,http://ceip-lasenda.centros.castillalamancha.es
Los Llanos,Público,[19008903],Escuela de Educación Infantil,"Cl. Cuzco, 3",Cabanillas del Campo,(Guadalajara),CP :19171,,949332767,infodidac@hotmail.com,
Los Olivos,Público,[19008046],Colegio de Educación Infantil y Primaria,"Cl. San Juan de la Cruz, 2",Cabanillas del Campo,(Guadalajara),CP :19171,949324457,949324457,19008046.cp@edu.jccm.es,http://ceip-losolivos.centros.castillalamancha.es
Mirador,Público,[19009506],Escuela de Educación Infantil,"Cl. Lope de Vega, S/N",Cabanillas del Campo,(Guadalajara),CP :19171,,949324931,elmirador@escuelainfantilquerubines.es,
San Blas,Público,[19000461],Colegio de Educación Infantil y Primaria,"Cl. Soledad, 27",Cabanillas del Campo,(Guadalajara),CP :19171,949332213,949332213,19000461.cp@edu.jccm.es,http://ceip-sanblasgu.centros.castillalamancha.es
Tres Torres,Público,[19008915],Escuela de Educación Infantil,"Cl. Madrazo, 2",Cabanillas del Campo,(Guadalajara),CP :19171,,949337663,info@caitrestorres.com,
- Sin Denominación -,Público,[19003681],Aula de Educación de Adultos,"Pz. Mayor, S/N",Casar (El),(Guadalajara),CP :19170,,,aepa_elcasar@edu.jccm.es,
Asociacion Musical el Casar,Privado,[19008678],Escuela Privada de Música y Danza,"Cl. Valeriano Romanillos, S/N",Casar (El),(Guadalajara),CP :19170,,949335072,secretaria@asomusicasar.org,
Campiña Alta,Público,[19003929],Instituto de Educación Secundaria,"Ps. de la Ermita, S/N",Casar (El),(Guadalajara),CP :19170,949334901,949334910,19003929.seces@edu.jccm.es,http://ies-campalta.centros.castillalamancha.es
Colegio Montealbir,Privado,[19008733],Centro Privado de Educación Infantil Primaria y Secundaria,Ur. los Arenales de el Casar,Arenales (Los),(Guadalajara),CP :19170,949326541,949326542,administracion@montealbir.com,http://www.montealbir.com
El Casar,Público,[19009488],Escuela de Educación Infantil,"Ps. de el Calvario, 2",Casar (El),(Guadalajara),CP :19170,,,escuelainfantil.elcasar@hotmail.com,
El Coto,Público,[19008162],Colegio de Educación Infantil y Primaria,"Av. Bruselas, S/N",Coto (El),(Guadalajara),CP :19170,949335034,949335034,19008162.cp@edu.jccm.es,http://ceip-elcoto.centros.castillalamancha.es
El Coto Kids,Privado,[19009634],Centro Privado de Educación Infantil,"Cl. las Navas, S/N",Coto (El),(Guadalajara),CP :19185,,,,
Juan García Valdemora,Público,[19008204],Instituto de Educación Secundaria,"Ps. del Calvario, S/N",Casar (El),(Guadalajara),CP :19170,949322856,949322814,19008204.ies@edu.jccm.es,
La Cigüeña,Privado,[19009191],Centro Privado de Educación Infantil,"Cm. de Talamanca, S/N",Casar (El),(Guadalajara),CP :19170,949336820,949336045,,
Maestros del Casar,Público,[19000552],Colegio de Educación Infantil y Primaria,"Av. de los Maestros, 3",Casar (El),(Guadalajara),CP :19170,949334870,949334870,19000552.cp@edu.jccm.es,http://ceip-maestrosdelcasar.centros.castillalamancha.es
María Montessori,Público,[19009427],Colegio de Educación Infantil y Primaria,"Av. los Arenales, S/N",Arenales (Los),(Guadalajara),CP :19170,949326681,949326623,19009427.cp@edu.jccm.es,http://edu.jccm.es/cp.n3losarenales
Mupa,Privado,[19009221],Centro Privado de Educación Infantil,"Cl. San Roque, 29",Casar (El),(Guadalajara),CP :19170,949334867,949334967,,
Pequenautas,Privado,[19009233],Centro Privado de Educación Infantil,"Av. Bruselas, 1457",Coto (El),(Guadalajara),CP :19185,,649433161,info@pequenautas.com,
Sexma de la Sierra,Público,[19003498],Colegio Rural Agrupado,"Cl. Veguillas, S/N",Checa,(Guadalajara),CP :19310,949836368,949836368,19003498.cra@edu.jccm.es,http://edu.jccm.es/cra.sexmadelasierra
José Inglés,Público,[19000710],Colegio de Educación Infantil y Primaria,"Cl. Jose Ingles, S/N",Chiloeches,(Guadalajara),CP :19160,949271461,949271217,19000710.cp@edu.jccm.es,http://ceip-joseingles.centros.castillalamancha.es
La Sirenita,Privado,[19009476],Centro Privado de Educación Infantil,"Cl. Carramolino, 13",Celada (La),(Guadalajara),CP :19160,,,,
Las Ardillas,Privado,[19009518],Centro Privado de Educación Infantil,"Cl. el Torvisco, 18",Mapa (El),(Guadalajara),CP :19160,,,,
Peñalba,Público,[19008782],Instituto de Educación Secundaria,"Cl. la Hogaza, S/N",Chiloeches,(Guadalajara),CP :19160,949271337,949271285,19008782.ies@edu.jccm.es,http://ies-chiloeches.centros.castillalamancha.es
San Marcos,Público,[19009580],Escuela de Educación Infantil,"Cl. Reajal, S/N",Chiloeches,(Guadalajara),CP :19160,,949271950,,
- Sin Denominación -,Público,[19008927],Escuela de Educación Infantil,"Rd. del Castillo, S/N",Cifuentes,(Guadalajara),CP :19420,949810435,949810572,,
Don Juan Manuel,Público,[19003401],Instituto de Educación Secundaria,"Cm. de las Cruces, 1",Cifuentes,(Guadalajara),CP :19420,949811041,949811041,19003401.ies@edu.jccm.es,http://ies-donjuanmanuel.centros.castillalamancha.es
San Francisco,Público,[19000618],Colegio de Educación Infantil y Primaria,"Cm. del Val, S/N",Cifuentes,(Guadalajara),CP :19420,949810107,949810107,19000618.cp@edu.jccm.es,http://ceip-sanfrancisco.centros.castillalamancha.es
La Encina,Público,[19003531],Colegio Rural Agrupado,"Pq. Municipal, S/N",Cogolludo,(Guadalajara),CP :19230,949855085,949855085,19003531.cra@edu.jccm.es,http://cra-laencina.centros.castillalamancha.es
- Sin Denominación -,Público,[19008940],Escuela de Educación Infantil,"Cm. del Monte, 1",Fontanar,(Guadalajara),CP :19290,949330544,949337212,maria_caidefontanar@hotmail.com,
Virgen de la Soledad,Público,[19000795],Colegio de Educación Infantil y Primaria,"Cl. Antonio Machado, S/N",Fontanar,(Guadalajara),CP :19290,949331322,949331322,19000795.cp@edu.jccm.es,
Mi Pequeño Hogar,Público,[19009592],Escuela de Educación Infantil,"Cl. del Val, 1",Fuentenovilla,(Guadalajara),CP :19113,,,,
Clara Sánchez,Público,[19003000],Colegio de Educación Infantil y Primaria,"Av. de la Cebada, S/N",Galapagos,(Guadalajara),CP :19175,949339628,949339628,19003000.cp@edu.jccm.es,http://ceip-clarasanchez.centros.castillalamancha.es
- Sin Denominación -,Público,[19003191],Escuela Oficial de Idiomas,"Cl. Felipe Solano Antelo, 21",Guadalajara,(Guadalajara),CP :19002,949218604,949218479,19003191.eoi@edu.jccm.es,http://edu.jccm.es/eoi/guadalajara
... y Milú,Privado,[19009245],Centro Privado de Educación Infantil,"Ct. del Matadero, 3",Guadalajara,(Guadalajara),CP :19001,,949219301,,
Afen Escuela Técnico Deportiva,Privado,[19008125],Centro Privado Autorizado de Enseñanzas Deportivas,"Cl. Toledo, 24",Guadalajara,(Guadalajara),CP :19002,,,,
Aguas Vivas,Público,[19003930],Instituto de Educación Secundaria,"Av. Beleña, 9",Guadalajara,(Guadalajara),CP :19005,949881455,949881264,19003930.ies@edu.jccm.es,http://ies-aguasvivas.centros.castillalamancha.es
Alcarria,Público,[19000989],Colegio de Educación Infantil y Primaria,"Cl. Cifuentes, 49",Guadalajara,(Guadalajara),CP :19003,949223451,949221014,19000989.cp@edu.jccm.es,http://ceip.alcarria.centros.castillalamancha.es
Alfanhuí,Público,[19008939],Escuela de Educación Infantil,"Cl. Doctor Rafael de la Rica, 44 C/V Laguna Grande, 14",Guadalajara,(Guadalajara),CP :19005,,,,
Alvar Fáñez de Minaya,Público,[19002639],Colegio de Educación Infantil y Primaria,"Cl. Constitucion, 31 B",Guadalajara,(Guadalajara),CP :19003,949222030,949222030,19002639.cp@edu.jccm.es,http://ceip-alvarfanyezdeminaya.centros.castillalamancha.es
Antonio Buero Vallejo,Público,[19002597],Instituto de Educación Secundaria,"Cl. Enrique Fluiters Aguado,S/N",Guadalajara,(Guadalajara),CP :19003,949219390,949230661,19002597.ies@edu.jccm.es,http://ies-antoniobuerovallejo.centros.castillalamancha.es
"Asociación Académica de Entrenadores de Fútbol Acadef Fútbol, S.L.",Privado,[19009658],Centro Privado Autorizado de Enseñanzas Deportivas,"Cl. Donante de Sangre,6",Guadalajara,(Guadalajara),CP :19002,,,,
Baby Pitufos,Privado,[19009270],Centro Privado de Educación Infantil,"Cl. las Cañas, 26",Guadalajara,(Guadalajara),CP :19005,,949219088,,
Badiel,Público,[19002767],Colegio de Educación Infantil y Primaria,"Cl. Adoratrices, 12",Guadalajara,(Guadalajara),CP :19002,949220265,949215100,19002767.cp@edu.jccm.es,http://ceip-badiel.centros.castillalamancha.es
Balconcillo,Público,[19002706],Colegio de Educación Infantil y Primaria,"Cl. Constitucion, 22-D",Guadalajara,(Guadalajara),CP :19003,949217902,949227362,19002706.cp@edu.jccm.es,http://ceip-balconcillo.centros.castillalamancha.es
Brianda de Mendoza,Público,[19001076],Instituto de Educación Secundaria,"Cl. Hermanos Fernandez Galiano, 6",Guadalajara,(Guadalajara),CP :19004,949253710,949213146,19001076.ies@edu.jccm.es,http://edu.jccm.es/ies/brianda.de.mendoza
Cardenal Cisneros,Privado,[19000953],Centro Privado de Educación Infantil Primaria y Secundaria,"Cl. Donante de Sangre, 1",Guadalajara,(Guadalajara),CP :19002,949225330,949248620,secretaria@diocesano.com,http://www.diocesano.com
Cardenal Mendoza,Público,[19000990],Colegio de Educación Infantil y Primaria,"Cl. Laguna Grande, 10",Guadalajara,(Guadalajara),CP :19005,949255156,949223844,19000990.cp@edu.jccm.es,http://ceip-cardenalmendoza.centros.castillalamancha.es
Castilla,Público,[19002743],Instituto de Educación Secundaria,"Cl. Virgen del Amparo, 4",Guadalajara,(Guadalajara),CP :19003,949212213,949220396,19002743.ies@edu.jccm.es,http://edu.jccm.es/ies.castilla
Castilla-La Mancha,Público,[19008812],Escuela de Educación Infantil,"Tr. Nuevo Alamin, 8",Guadalajara,(Guadalajara),CP :19005,949215852,949215852,19008812.ei@edu.jccm.es,
Din Don,Privado,[19009257],Centro Privado de Educación Infantil,"Cl. Campiña, 3 Bajo, Pc. B 13-A, Sector Sp-O2",Guadalajara,(Guadalajara),CP :19005,,949298812,juanjose.torrent@din-don.es,
El Balancín,Privado,[19009269],Centro Privado de Educación Infantil,"Cl. Felipe Solano Antelo, 6 Interior",Guadalajara,(Guadalajara),CP :19002,949234929,696998645,elbalancin@elbalancin.es,
El Doncel,Público,[19002718],Colegio de Educación Infantil y Primaria,"Cl. Rufino Blanco, 5",Guadalajara,(Guadalajara),CP :19002,949221348,949221348,19002718.cp@edu.jccm.es,http://ceip-eldoncel.centros.castillalamancha.es/
Elena de la Cruz Martín,Público,[19008101],Escuela de Arte,"Pz. Ceuta y Melilla, 6 y 7",Guadalajara,(Guadalajara),CP :19005,949214768,949255933,19008101.ea@edu.jccm.es,http://edu.jccm.es/ea/guadalajara
Escuela Territorial de Técnicos y Técnicos Superiores Deportivos de Fútbol y Fútbol Sala,Privado,[19008666],Centro Privado Autorizado de Enseñanzas Deportivas,"Cl. Leon Felipe, 4, Bajo",Guadalajara,(Guadalajara),CP :19004,,,,
Francisco Ibáñez,Público,[19003589],Colegio Rural Agrupado,"Pz. de la Constitucion, S/N",Iriepal,(Guadalajara),CP :19150,949228427,949228427,19003589.cra@edu.jccm.es,http://cra-franciscoibanez.centros.castillalamancha.es
Isidro Almazán,Público,[19001027],Colegio de Educación Infantil y Primaria,"Cl. Buenafuente, 15-17",Guadalajara,(Guadalajara),CP :19004,949203364,949201989,19001027.cp@edu.jccm.es,http://ceip-isidroalmazan.centros.castillalamancha.es
José Luis Sampedro,Público,[19003450],Instituto de Educación Secundaria,"Cl. Zaragoza,18",Guadalajara,(Guadalajara),CP :19005,949228874,949253205,19003450.ies@edu.jccm.es,http://ies-jlsampedro.centros.castillalamancha.es
La Casa de Mamá,Privado,[19009543],Centro Privado de Educación Infantil,"Cl. Cuba, 3",Guadalajara,(Guadalajara),CP :19005,,949218777,info@lacasademama.com,
La Cotorrera,Privado,[19009282],Centro Privado de Educación Infantil,"Cl. Francisco de Medina, 13",Guadalajara,(Guadalajara),CP :19002,,,,
La Fábula,Privado,[19009294],Centro Privado de Educación Infantil,"Cl. Prado de Taracena, 11",Guadalajara,(Guadalajara),CP :19005,,949491044,,
